"name";"datasets";"reuses";"total"
"ald";2;1;3
"ciqual";0;3;3
"terrain-de-football";2;1;3
"pin";2;1;3
"gpe";3;0;3
"carrelage";2;1;3
"comue";3;0;3
"ipad";0;3;3
"homme-femme";1;2;3
"lpp";2;1;3
"rémunération";2;1;3
"collèges";2;1;3
"issytv";2;1;3
"squares";3;0;3
"aide ménagère";3;0;3
"dejections-canines";3;0;3
"donnee-environnementale";3;0;3
"mise-en-valeur";3;0;3
"publicwifipoitiers";3;0;3
"secteurs-constructibles";3;0;3
"fonds solidarité énergie";3;0;3
"balisette";3;0;3
"ventouse";3;0;3
"accueil collectif de la petite enfance";3;0;3
"crèches départementales";3;0;3
"bénéficiaire";3;0;3
"cdt";3;0;3
"couloirs";3;0;3
"parcs départementaux";3;0;3
"c3";2;1;3
"service-d-incendie";3;0;3
"sacem";2;1;3
"d-9-questions-sanitaires";3;0;3
"surveillance-sanitaire";3;0;3
"cartographie-d-habitats";3;0;3
"eunis";3;0;3
"habitats-physiques";3;0;3
"milieu-physique-habitats-physiques";3;0;3
"élections municipales 2008";3;0;3
"edater";0;3;3
"bassins";3;0;3
"eau-de-baignade";2;1;3
"lutte-contre-les-inondations";3;0;3
"mobilite-transport-autres";3;0;3
"navigation-maritime";2;1;3
"organisation-territoriale";3;0;3
"pompage";3;0;3
"pprm";3;0;3
"reseau-energie-divers";3;0;3
"routes-nationales";2;1;3
"sgar";3;0;3
"siredo";3;0;3
"sources-d-energie";3;0;3
"zone-de-chalandise";2;1;3
"cgu";3;0;3
"rcp";2;1;3
"TER";3;0;3
"Vélo";3;0;3
"cave";3;0;3
"cimetières";3;0;3
"croisement";3;0;3
"géographie";2;1;3
"point adresse";3;0;3
"transport en commun";3;0;3
"végétation";3;0;3
"ajaccien";3;0;3
"ajaccio";2;1;3
"chrs";3;0;3
"viti-vinicole";1;2;3
"schengen";3;0;3
"reforme-des-retraites";3;0;3
"paris-beer-week";3;0;3
"commerce extérieur";3;0;3
"budget-2014";3;0;3
"zone-naturelle";3;0;3
"géocodage";0;3;3
"amenagement-numerique-du-territoire";3;0;3
"enseignement élémentaire";3;0;3
"programme enseignement";3;0;3
"école maternelle";3;0;3
"amenagement-urbanisme-zonages-etude";3;0;3
"hydrocarbures";3;0;3
"impact-sur-l-environnement";3;0;3
"onema-rhone-alpes";3;0;3
"amenagement-numerique-des-territoires";3;0;3
"nature-paysage-biodiversite-inventaire-paysage";3;0;3
"seances-publiques";3;0;3
"transports-infrastructure-aerien";3;0;3
"champs-de-tir";3;0;3
"culture-societe-service-enseignement";3;0;3
"desserte-forestiere";3;0;3
"ac-1";3;0;3
"ac-2";3;0;3
"aerodromes";3;0;3
"bray-sur-somme";3;0;3
"conseillers-regionaux";2;1;3
"el-7";3;0;3
"ppri-de-la-vallee-de-la-somme";3;0;3
"ppri-de-la-vallee-de-la-somme-et-de-ses-affluents";3;0;3
"risque-de-mouvement-de-terrain";3;0;3
"t-5";3;0;3
"predation";3;0;3
"buzet-sur-baise";3;0;3
"castelculier";3;0;3
"lauzun";3;0;3
"lavardac";3;0;3
"saint-nicolas-de-la-balerme";3;0;3
"saint-sylvestre-sur-lot";3;0;3
"saint-vite";3;0;3
"mouillages";3;0;3
"regroupement-territorial-inclut-tous-groupements-communaux-et-urbains";3;0;3
"habitat-politique-de-la-ville-accession-a-la-propriete";3;0;3
"risque-avalanche";3;0;3
"wetland";3;0;3
"cabas-loumasses";3;0;3
"cadeillan";3;0;3
"catonvielle";3;0;3
"cazaux-saves";3;0;3
"cologne";3;0;3
"condom";3;0;3
"cuelas";3;0;3
"endoufielle";3;0;3
"fleurance";3;0;3
"garravet";3;0;3
"isle-arne";3;0;3
"isle-jourdain";3;0;3
"lamaguere";3;0;3
"laymont";3;0;3
"maravat";3;0;3
"marsan";3;0;3
"maurens";3;0;3
"miradoux";3;0;3
"mirepoix";3;0;3
"monblanc";3;0;3
"moncorneil-grazan";3;0;3
"monferran-saves";3;0;3
"mongausy";3;0;3
"mont-d-astarac";3;0;3
"montamat";3;0;3
"montiron";3;0;3
"nom-de-commune";3;0;3
"nom-de-la-commune";3;0;3
"zad";3;0;3
"pauvreté";2;1;3
"habitat-politique-de-la-ville-renovation";3;0;3
"riviere-saas-et-gourby";3;0;3
"zonage-a-risque-naturel";3;0;3
"amii";3;0;3
"point-d-apport-volontaire";3;0;3
"activités sportives";2;1;3
"animaux errants";3;0;3
"chats";3;0;3
"bases-de-loisirs";3;0;3
"complexes-sportifs";3;0;3
"dechets-recyclables";3;0;3
"locaux-techniques";3;0;3
"passerelles";3;0;3
"reseau-de-chauffage";3;0;3
"stations-epuration";3;0;3
"tombes";3;0;3
"u-v-e";3;0;3
"auberge de jeunesse";3;0;3
"gîte";3;0;3
"taxe de séjour";3;0;3
"maternité";3;0;3
"mère";3;0;3
"paternité";3;0;3
"reseau-pluvial";3;0;3
"achats publics";2;1;3
"avantages en nature";3;0;3
"tam";3;0;3
"destinations-touristiques";3;0;3
"randonneurs";3;0;3
"urbanisme-et-foncier-foncier-et-droit-des-sols";3;0;3
"aires-urbaines";3;0;3
"legislation-en-matiere-de-ressources-en-eau";3;0;3
"parc-locatif-social";3;0;3
"projets-connus-etude-d-impact-autorite-environnementale-avis-de-l-autorite-environnementale-poitou-charentes-charente-ch";3;0;3
"zonages-risques-technologiques";3;0;3
"voyance gratuite amour";3;0;3
"filaires";3;0;3
"limeil-brevannes";2;1;3
"contrainte-une-prescription-qui-se-superpose-a-une-zone-du-document-d-urbanisme-exerce-en-general-une-contrainte-supplem";3;0;3
"plan-de-deplacement-urbain";3;0;3
"aides-fiscales";3;0;3
"ecole-de-conduite";1;2;3
"gare-ferroviaire";2;1;3
"installation-dangereuse";3;0;3
"logement-locatif";3;0;3
"mobilite-transport-transport-ferroviaire";3;0;3
"parc-prive";3;0;3
"plafond-de-loyer";3;0;3
"production-d-energie";3;0;3
"production-d-energie-electrique";3;0;3
"protection-des-especes";3;0;3
"risques-et-securite-risques-sanitaires";3;0;3
"scellier";3;0;3
"zone-tendue";2;1;3
"zones-de-revitalisation-rurale";3;0;3
"port-louis";3;0;3
"riantec";3;0;3
"adour";3;0;3
"anguille";2;1;3
"intercommunal";3;0;3
"parcs-naturels-marins";3;0;3
"parcs-naturels-regionaux";3;0;3
"pnm";3;0;3
"reserves-naturelles-nationales";3;0;3
"schema-de-coherence-territorial";3;0;3
"zone-active";3;0;3
"équipements sportifs";0;3;3
"reseau-de-telecommunication";3;0;3
"pouvoir-d-achat";2;1;3
"foret-milieu-vegetal";3;0;3
"pathologie-vegetale";3;0;3
"conseil-d-etat";2;1;3
"aigneville";3;0;3
"ailly-sur-somme";3;0;3
"argoeuvre";3;0;3
"beauchamps";3;0;3
"bernaville";3;0;3
"bertangles";3;0;3
"bettencourt-saint-ouen";3;0;3
"bonneville";3;0;3
"bouttencourt";3;0;3
"boves";3;0;3
"brutelles";3;0;3
"chepy";3;0;3
"curlu";3;0;3
"dargnies";3;0;3
"dreuil-les-amiens";3;0;3
"fouilloy";3;0;3
"gouvernance-de-l-eau-politique-publique-gestion-integree";3;0;3
"guyencourt-sur-noye";3;0;3
"la-chaussee-tirancourt";3;0;3
"lancheres";3;0;3
"long";3;0;3
"moilains";3;0;3
"mons-boubert";3;0;3
"morlancourt";3;0;3
"pende";3;0;3
"rainneville";3;0;3
"sailly-flibeaucourt";3;0;3
"sains-en-amienois";3;0;3
"saint-sauveur";3;0;3
"senlis-le-sec";3;0;3
"usage-de-sols";3;0;3
"vers-sur-selles";3;0;3
"villers-carbonnel";3;0;3
"woignarue";3;0;3
"woincourt";3;0;3
"znt";3;0;3
"skos";1;2;3
"code de la route";0;3;3
"mats";3;0;3
"protection-de-la-faune-et-de-la-flore";3;0;3
"précipitations";3;0;3
"anomalie de précipitations";3;0;3
"Consommation";3;0;3
"ajpp";3;0;3
"allocataire";3;0;3
"amplitude";3;0;3
"attente";2;1;3
"personnes-couvertes";3;0;3
"refoulement";3;0;3
"alertes";2;1;3
"zones-reglementees";3;0;3
"délits";2;1;3
"besoin-en-main-d-oeuvre";1;2;3
"creuse";2;1;3
"haute-vienne";2;1;3
"amenagement-urbanisme-politique-europeenne";3;0;3
"foret-transformation";3;0;3
"redynamisation";1;2;3
"retenue";3;0;3
"étudiants";3;0;3
"2014-0";3;0;3
"copernicus";2;1;3
"peps";3;0;3
"cop21";1;2;3
"Comptage";3;0;3
"Qualité de l'air";3;0;3
"Histoire";3;0;3
"Transilien";3;0;3
"choroplethe";0;3;3
"brigades";3;0;3
"isopaques";3;0;3
"milieu-physique-geologie-sedimentologie-isopaques";3;0;3
"milieu-physique-geologie-sedimentologie-ressources-minerales";3;0;3
"morphologie";3;0;3
"lexique";3;0;3
"sobriete";2;1;3
"webgl";0;3;3
"plouharnel";3;0;3
"cote-de-trestel-a-paimpol-estuaires-du-trieux-et-du-jaudy-archipel-de-brehat-et-tregor-goelo";3;0;3
"estuaire-de-l-aulne";3;0;3
"golfe-du-morbihan";3;0;3
"herbier";3;0;3
"mangrove";3;0;3
"rade-de-brest";3;0;3
"sept-iles";3;0;3
"zone-intertidale";3;0;3
"france-bretagne-finistere-pays-de-morlaix-morlaix-baie-de-morlaix";3;0;3
"habitat-intertidal-typologie-natura-2000-cartographie-cahier-d-habitats-estran";3;0;3
"fresnes";0;3;3
"aire-alimentation-captage";3;0;3
"lecteurs";3;0;3
"microfilm";3;0;3
"numérisation";3;0;3
"brasserie";2;1;3
"climatisation";2;1;3
"fusion de communes";1;2;3
"indices de fréquence des traitements";3;0;3
"donges-44052";3;0;3
"ssd";3;0;3
"rentrée scolaire 2016";2;1;3
"calories";0;3;3
"Abonnés";3;0;3
"Best-seller";3;0;3
"Bus";3;0;3
"Inscrits";3;0;3
"Usagers";3;0;3
"acceuil";3;0;3
"buvable";3;0;3
"démocratie locale";3;0;3
"permanent";3;0;3
"poche";3;0;3
"moneo";3;0;3
"indicateurs de fréquence des traitements";3;0;3
"soregies";3;0;3
"contrat à durée indéterminée";3;0;3
"droit des sociétés";3;0;3
"aet";3;0;3
"dragage";3;0;3
"espace-public-autres";3;0;3
"lignes-ctrl";3;0;3
"referentiels-topographie-et-tres-grande-echelle";2;1;3
"fractures";3;0;3
"inra";2;1;3
"scpi";2;1;3
"accord-de-gestion-concertee";3;0;3
"accueil-collectif-de-la-petite-enfance";3;0;3
"aide-et-soin-a-domicile";3;0;3
"aide-menagere";3;0;3
"amenager";2;1;3
"animaux-errants";3;0;3
"anomalie-de-precipitations";3;0;3
"antisemitisme";3;0;3
"arts-decoratifs";2;1;3
"assurance-sante";2;1;3
"avantages-en-nature";3;0;3
"banc-public";3;0;3
"bordure-de-trottoir";3;0;3
"borne-incendie";3;0;3
"celebration";3;0;3
"centre-de-gestion";3;0;3
"changeur-de-monnaie";3;0;3
"codeveloppement";3;0;3
"communications-electroniques";3;0;3
"coupe-du-monde";2;1;3
"courants-de-maree";3;0;3
"creches-departementales";3;0;3
"crematorium";3;0;3
"dejections-animales";3;0;3
"developpement-durable-et-energie";2;1;3
"developpement-solidaire";3;0;3
"donnees-genrees";3;0;3
"ecart-de-salaire";1;2;3
"emetteurs";2;1;3
"emplacements-reserves";3;0;3
"emploi-agricole";3;0;3
"enlevement";3;0;3
"enseignement-superieur-recherche";2;1;3
"epaves";2;1;3
"etat-4001";2;1;3
"evolution-des-territoires";3;0;3
"file-de-pylones";3;0;3
"flux-migratoire";3;0;3
"fonds-solidarite-energie";3;0;3
"formalites";2;1;3
"france-culture";3;0;3
"frequences";3;0;3
"fuite-eau";3;0;3
"fusion-de-communes";1;2;3
"geometre-expert";3;0;3
"grand-paris-seine-ouest";2;1;3
"grandes-cultures";3;0;3
"grandes-ecoles";2;1;3
"gynecologues";1;2;3
"habitudes-alimentaires";1;2;3
"handicapees";3;0;3
"heure-limite-de-depot";3;0;3
"indicateur-de";1;2;3
"indicateur-de-valeur-ajoute";1;2;3
"indicateurs-de-frequence-des-traitements";3;0;3
"indice-qualite-air";2;1;3
"indices-de-frequence-des-traitements";3;0;3
"jaces-2016";3;0;3
"jacques-jp-martin";3;0;3
"jacques-martin";3;0;3
"jeux-video";2;1;3
"legal-data";1;2;3
"lice-en-bois";3;0;3
"mairies-de-quartier";3;0;3
"maisons-de-retraite";3;0;3
"marches-et-europe";3;0;3
"mediateur";3;0;3
"mutuelle-sante";2;1;3
"nebulosite";3;0;3
"nid-de-poule";3;0;3
"niveaux-caracteristiques";2;1;3
"parcs-departementaux";3;0;3
"paris-hippiques";3;0;3
"paternite";3;0;3
"pays-de-loire";2;1;3
"pays-tiers";3;0;3
"pere-lachaise";1;2;3
"pic";3;0;3
"plaque-de-rue";3;0;3
"point-de-vue";3;0;3
"points-de-vente";3;0;3
"pole-de-competitivite";3;0;3
"porte-a-porte";3;0;3
"portion-de-voie";3;0;3
"produits-petroliers";3;0;3
"programme-electoral";1;2;3
"programme-enseignement";3;0;3
"projet-de-developpement";3;0;3
"propositions-politiques";1;2;3
"rentree-scolaire-2016";2;1;3
"reperes-fondamentaux";2;1;3
"repertoire-national-des-elus";2;1;3
"representation-syndicale";3;0;3
"revenu-disponible-brut";1;2;3
"revenu-national";1;2;3
"sanitaire-et-social";3;0;3
"seminaire";3;0;3
"service-en-gare";3;0;3
"subventions-aux-structures";3;0;3
"teletransmis";3;0;3
"terrain-de-sport";3;0;3
"trottoir-degrade";3;0;3
"video-protection";3;0;3
"zero-hydrographique";2;1;3
"analyse-semantique";0;3;3
"arts-martiaux";2;1;3
"banque-mondiale";1;2;3
"base-permanente-des-equipements";1;2;3
"cesarienne";2;1;3
"expatries";0;3;3
"intelligence-economique";0;3;3
"panneaux-publicitaires";2;1;3
"plaque-adresse";0;3;3
"semantique";1;2;3
"territoires-de-vie";2;1;3
"cambron";3;0;3
"installationsde-suivi-environnemental";3;0;3
"lieutenant";3;0;3
"ebc";3;0;3
"lignes-electriques";2;1;3
"pcet";3;0;3
"prioritaires";3;0;3
"societe-humaine";3;0;3
"transports-deplacements-transport-de-matiere-dangereuse";3;0;3
"zones-basses";3;0;3
"zones-humides-d-importance-internationale";3;0;3
"algues";3;0;3
"chaufferie";3;0;3
"dechets-non-dangereux";2;1;3
"energie-autres";2;1;3
"matieres-phosphorees";3;0;3
"thermique";3;0;3
"grandpublic";3;0;3
"distribution-demographique";3;0;3
"sinoe";2;1;3
"surfacique";3;0;3
"ecotoxicologie";3;0;3
"vulgarisation";3;0;3
"1820";3;0;3
"administratif-decoupage";3;0;3
"archeologique";3;0;3
"boitiers";3;0;3
"cluster";1;2;3
"dsi";2;1;3
"et";3;0;3
"pluridisciplinaire";3;0;3
"saisine";3;0;3
"sdic";3;0;3
"secretariat";3;0;3
"cotisation";3;0;3
"manger";3;0;3
"protection-des-donnees";1;2;3
"referes";3;0;3
"dietetique";1;2;3
"risk";3;0;3
"orthophotographie-ortho-image-photographie-aerienne-referentiel-languedoc-roussillon";3;0;3
"ministeres";3;0;3
"textes-legislatifs";1;2;3
"beautifulsoup";3;0;3
"leboncoin";3;0;3
"crc";3;0;3
"crtc";3;0;3
"carroyage-dfci";3;0;3
"contrat-de-territoire";3;0;3
"defense-de-la-foret-contre-les-incendies";3;0;3
"ephy";1;2;3
"handicap-visuel";3;0;3
"lecteurs-ecran";3;0;3
"legalstart";3;0;3
"mission-etalab";3;0;3
"sgp";3;0;3
"uk";0;3;3
"subway";3;0;3
"agglomeration-communes";3;0;3
"creation-d-entreprises";3;0;3
"i-lab";3;0;3
"ilab";3;0;3
"repertoire-national-des-structures-de-recherche";3;0;3
"structure-de-recherche";3;0;3
"multi-alea";3;0;3
"perimetre-alea";3;0;3
"perimetre-d-exposition";3;0;3
"zone-alea";3;0;3
"zone-d-alea";3;0;3
"zones-de-gestion-de-restriction-ou-de-reglementation-et-unites-dedeclaration";3;0;3
"zones-de-gestion-de-restriction-ou-de-reglementation-et-unitesde-declaration";3;0;3
"sky-tv";0;3;3
"bilan-previsionnel";3;0;3
"affichages-publicitaires";3;0;3
"agence-nationale-de-renovation-urbaine";3;0;3
"agrements";3;0;3
"emprises-de-gestion";3;0;3
"estampes";3;0;3
"exceptionnels";3;0;3
"foyers";3;0;3
"nomenclatures";3;0;3
"preemptions";3;0;3
"rares";3;0;3
"crise-de-la-dette";3;0;3
"conseillers-generaux";3;0;3
"semi";2;1;3
"bison-fute";2;1;3
"mecanisme-de-capacite";3;0;3
"bop";3;0;3
"water";3;0;3
"anonymisation";2;1;3
"reseau-routier-national-non-concede";3;0;3
"climate";2;1;3
"chatou";3;0;3
"gentilly";3;0;3
"taxe-habitation";2;1;3
"aides-sociales";3;0;3
"places-disponibles";3;0;3
"revenu-minimum-dinsertion";3;0;3
"pratiques-sportives";3;0;3
"athletes";3;0;3
"medailles";1;2;3
"dopage";1;2;3
"immo";1;2;3
"saint-aignan-grandlieu-44150";3;0;3
"saint-herblain-44162";3;0;3
"affiche";2;1;3
"station-vtt";3;0;3
"prochains";3;0;3
"quais";3;0;3
"geotechnique";3;0;3
"avalanches";3;0;3
"description";2;1;3
"zones-urbaines-sensibles";3;0;3
"programme-culturelle";3;0;3
"systeme-d-information";2;1;3
"debit-internet";1;2;3
"ligne-routiere-regionale";2;1;3
"fracture-numerique";2;1;3
"bulletins";3;0;3
"frontonnais";3;0;3
"operateur-telephonique";2;1;3
"baie-de-somme";3;0;3
"pprn-du-marquenterre-baie-de-somme";3;0;3
"nutriments";1;2;3
"points-gps";3;0;3
"servitudes-d-utilite-publique-et-services-publics";3;0;3
"sup-a-9";3;0;3
"sup-pm-3";3;0;3
"fourier-transform-infrared";3;0;3
"non-concede";3;0;3
"scanning-electron-microscopy";3;0;3
"protection-civile";3;0;3
"dsc";3;0;3
"tga";3;0;3
"xrd";3;0;3
"multidrug-resistant";3;0;3
"contrainte";3;0;3
"parcs-naturels";3;0;3
"peb";2;1;3
"plu-plan-local-d-urbanisme";2;1;3
"vval-du-cher";3;0;3
"biotyping";3;0;3
"amenagement-urbanisme-n-zonages-amenagement";3;0;3
"btp";2;1;3
"metadonnee";3;0;3
"cadmium";3;0;3
"thermogravimetric-analysis";3;0;3
"pro-inflammatory-cytokines";3;0;3
"splenocytes";3;0;3
"bidiversite";3;0;3
"granulats-marins-marin-concession-concessions-exploitation-permis-sables-graviers-gie";3;0;3
"bareme";3;0;3
"decedes";2;1;3
"brasseries";3;0;3
"cafetarias";3;0;3
"commerce-des-animaux";3;0;3
"conseil-dadministration";3;0;3
"dailymotion";3;0;3
"devenir-enseignant";3;0;3
"doi";3;0;3
"espace-de-loisirs";3;0;3
"eter";3;0;3
"funding-data";3;0;3
"isni";3;0;3
"issn";3;0;3
"laureat";3;0;3
"laureates";3;0;3
"nouvelle-region";3;0;3
"orgref";3;0;3
"pes";3;0;3
"promotion-du-commerce-et-de-lindustrie";3;0;3
"referens-iii";3;0;3
"taille-dentreprise";3;0;3
"impression";2;1;3
"mapping";0;3;3
"cartes-grises";3;0;3
"taxi-et-transport-public";2;1;3
"drt";3;0;3
"granel";3;0;3
"iles";3;0;3
"lesgor";3;0;3
"lesperon";3;0;3
"lussagnet";3;0;3
"rion-des-landes";3;0;3
"societe-petroliere-de-depot-spd";3;0;3
"vielle-saint-girons";3;0;3
"impots-taxes";2;1;3
"haute-saone";2;1;3
"marambat";3;0;3
"mirannes";3;0;3
"monbardon";3;0;3
"monlaur-bernet";3;0;3
"panassac";3;0;3
"pompiac";3;0;3
"pujaudran";3;0;3
"sinistres";3;0;3
"troncon-littoral";3;0;3
"noel";3;0;3
"reduction-de-gaz-a-effet-de-serre";3;0;3
"tarot";3;0;3
"colleges-connectes";3;0;3
"materiels";3;0;3
"nombre-deleves";3;0;3
"parcellescadastrales";1;2;3
"mogneneins";3;0;3
"milieux-humides";3;0;3
"domaines-emergents";3;0;3
"facies";3;0;3
"energie-positive";3;0;3
"n-zonages-planification";3;0;3
"territoire-a-energie-positive";3;0;3
"responsabilite";2;1;3
"iaa";3;0;3
"agriculture-peche";3;0;3
"capricorne-asiatique-anaplophora-arbre-feuillu-sante-vegetale-alsace";3;0;3
"accueil-collectif-de-la-petite-e";3;0;3
"agence-nationale-de-renovation-u";3;0;3
"allocation-personnalisee-autonom";3;0;3
"amenagement-urbanisme-politique-";3;0;3
"capricorne-asiatique-anaplophora";3;0;3
"chambres-territoriales-des-compt";3;0;3
"climatology-meteorology-atmosphe";2;1;3
"contrainte-une-prescription-qui-";3;0;3
"cote-de-trestel-a-paimpol-estuai";3;0;3
"dechets-collecte-traitement-et-e";1;2;3
"defense-de-la-foret-contre-les-i";3;0;3
"deliberation-conseil-municipal-f";3;0;3
"elections-legislatives-assemblee";2;1;3
"eolien-terrestre-energie-renouve";3;0;3
"estimations-localisees-de-popula";1;2;3
"etablissements-publics-de-cooper";3;0;3
"france-bretagne-finistere-pays-d";3;0;3
"gouvernance-de-l-eau-politique-p";3;0;3
"granulats-marins-marin-concessio";3;0;3
"habitat-intertidal-typologie-nat";3;0;3
"habitat-politique-de-la-ville-ac";3;0;3
"habitat-politique-de-la-ville-re";3;0;3
"indicateurs-de-frequence-des-tra";3;0;3
"indices-de-frequence-des-traitem";3;0;3
"journees-europeennes-du-patrimoi";1;2;3
"milieu-physique-habitats-physiqu";3;0;3
"milieu-physique-hydrodynamique-c";3;0;3
"mobilite-transport-deplacement-c";3;0;3
"mobilite-transport-organisation-";3;0;3
"mobilite-transport-transport-fer";3;0;3
"necropole-nationale-cimetiere-mi";3;0;3
"ppri-de-la-vallee-de-la-somme-et";3;0;3
"pprn-du-marquenterre-baie-de-som";3;0;3
"projets-connus-etude-d-impact-au";3;0;3
"reduction-de-gaz-a-effet-de-serr";3;0;3
"regroupement-territorial-inclut-";3;0;3
"repartition-de-la-population-dem";3;0;3
"repertoire-national-des-structur";3;0;3
"risques-et-securite-risques-sani";3;0;3
"satellite-photographie-monteplli";2;1;3
"schema-regional-de-coherence-eco";3;0;3
"scot-schema-coherence-territoria";3;0;3
"site-industriel-production-site-";3;0;3
"solidarite-et-renouvellement-urb";3;0;3
"systemes-de-maillage-geographiqu";3;0;3
"transports-deplacements-transpor";3;0;3
"transports-infrastructure-ferrov";3;0;3
"utilisation-rationnelle-de-l-ene";2;1;3
"videoprotectioncamerasprotection";1;2;3
"zones-humides-d-importance-inter";3;0;3
"steu";3;0;3
"zonage-planification";3;0;3
"a-9";3;0;3
"aa-superieure";3;0;3
"couthures-sur-garonne";3;0;3
"de-sangosse";3;0;3
"domanial";3;0;3
"lys";3;0;3
"noyon";3;0;3
"phares";3;0;3
"primagaz";3;0;3
"sols-pollues";3;0;3
"zones-agricoles";3;0;3
"ppri-mortagne";3;0;3
"egalite-professionnelle";2;1;3
"collecteurs";3;0;3
"r-programming";0;3;3
"reutilisateurs";2;1;3
"sdesm";3;0;3
"cremations";3;0;3
"inidice";3;0;3
"socio";3;0;3
"tva-intracommunautaire";0;3;3
"habitat-benthique";3;0;3
"indice-de-confiance";3;0;3
"drones";2;1;3
"drones-civils";2;1;3
"categorie-personnels";3;0;3
"bpi-france";3;0;3
"recommandations";3;0;3
"association-francaise";2;1;3
"magistrats";2;1;3
"syndicats-intercommunaux";2;1;3
"perte-autonomie";3;0;3
"notre-dame";3;0;3
"archives-nationales";3;0;3
"foyers-lumineux";3;0;3
"stats";2;1;3
"nptz";3;0;3
"genomique";2;1;3
"pprmvt";3;0;3
"blog";2;1;3
"spain";2;1;3
"photogrammetrie";3;0;3
"voirie-communale";3;0;3
"sciences-participatives";3;0;3
"lacs";3;0;3
"incertitude";2;1;3
"mdph";2;1;3
"observations-cotieres";3;0;3
"droits-de-succession";1;2;3
"cadaste";3;0;3
"chargement-electrique";3;0;3
"rocade";3;0;3
"courses";2;1;3
"biologiques-habitats-benthiques";3;0;3
"observations-in-situ";3;0;3
"mef";3;0;3
"carpe-diem";3;0;3
"d-3-especes-commerciales";3;0;3
"d-7-conditions-hydrographiques";3;0;3
"mediterranee-occidentale";3;0;3
"tourisme-daffaire";3;0;3
"accessible";3;0;3
"cannes";3;0;3
"catalogues-en-ligne";3;0;3
"domiciliation";3;0;3
"perturbations";2;1;3
"postes-publics";3;0;3
"imaje";3;0;3
"petite";3;0;3
"tous";3;0;3
"ais";3;0;3
"barometre-dimage";3;0;3
"bfr";3;0;3
"comite-dentreprise";3;0;3
"digital-et-innovation";3;0;3
"image-sncf";3;0;3
"maintenance";3;0;3
"menagere";3;0;3
"opendatasynth";3;0;3
"subventions-a-recevoir";3;0;3
"tgvmax";1;2;3
"trajet-intercites";3;0;3
"vitesse-maximale";2;1;3
"voyageur";3;0;3
"philosophie";3;0;3
"planete";2;1;3
"so-mobility";3;0;3
"vegetalise";3;0;3
"compte-satellite";2;1;3
"eligibilite-fibre";0;3;3
"solde-migratoire";3;0;3
"voies-navigables";3;0;3
"bruit-industriel";3;0;3
"controles-sanitaires";1;2;3
"clubs-sportfis";3;0;3
"etat-proprietaire";3;0;3
"code-naf";1;2;3
"stations-essence";0;3;3
"police-gendarmerie-crime-delits";2;1;3
"substance-dangereuse";3;0;3
"handball";2;1;3
"commerce-de-proximite";1;2;3
"oxydes-d-azote";3;0;3
"fermeture-de-voies";3;0;3
"paache";3;0;3
"attestation-accueil";3;0;3
"avitaillement";3;0;3
"cagnes-sur-mer";3;0;3
"carenage";3;0;3
"carte-identite";3;0;3
"castagniers";3;0;3
"colomars";3;0;3
"gattieres";3;0;3
"lithophyllum";3;0;3
"matisse";3;0;3
"mpt";3;0;3
"plateau";3;0;3
"saint-jeannet";3;0;3
"valdeblore";3;0;3
"vence";3;0;3
"epora";3;0;3
"enceinte";1;2;3
"reseau-routier-national-concede";3;0;3
"odd";2;1;3
"centre-daffaires";3;0;3
"produits-references-statiques";3;0;3
"dispositifs-de-surveillance";3;0;3
"produits-a-valeur-ajoutee";3;0;3
"phytosanitaires";1;2;3
"piratage";2;1;3
"ministere-des-armees";3;0;3
"affaires-internationales";2;1;3
"client-fragile";3;0;3
"isr";3;0;3
"courbe-niveau";3;0;3
"assemblee-de-corse";3;0;3
"awala-yalimapo";3;0;3
"ile-de-cayenne";3;0;3
"castres";3;0;3
"cerou";3;0;3
"giroussens";3;0;3
"migrateurs";2;1;3
"tassements-differentiels";3;0;3
"altitude-relief";2;1;3
"bubry";3;0;3
"caudan";3;0;3
"gavres";3;0;3
"gestel";3;0;3
"groix";3;0;3
"guidel";3;0;3
"hennebont";3;0;3
"hydro-ecologie";3;0;3
"inguiniel";3;0;3
"inzinzac-lochrist";3;0;3
"lanester";3;0;3
"languidic";3;0;3
"larmor-plage";3;0;3
"locmiquelic";3;0;3
"modes-actifs";2;1;3
"n-zonages-etude";3;0;3
"plans-schemas-programmes";3;0;3
"plouay";3;0;3
"polution";3;0;3
"quistinic";3;0;3
"rade";3;0;3
"reseau-bus";3;0;3
"ruissellement";3;0;3
"sentiers-de-randonnees";3;0;3
"barjac";3;0;3
"compostage-par-le-producteur";3;0;3
"composts-et-engrais-naturels";3;0;3
"espace-public-espaces-verts";3;0;3
"etiages";2;1;3
"mende";2;1;3
"minier-fer";3;0;3
"nettoyage";3;0;3
"peche-halieutique";3;0;3
"radioelectrique";3;0;3
"suppression";3;0;3
"air-ambiant";3;0;3
"procedure-prefectorale";3;0;3
"grandes-disciplines";3;0;3
"apports-volontaires";3;0;3
"eurometropole";3;0;3
"lutte";3;0;3
"diplome-universitaire-de-technologie";3;0;3
"douai";3;0;3
"douaisis";3;0;3
"lobby";3;0;3
"villages";2;1;3
"equipement-scolaire";3;0;3
"trident";3;0;3
"investissement-participatif";2;1;3
"documents-composites";3;0;3
"domaine-de-graveyron";3;0;3
"graines";3;0;3
"le-mas-dagenais";3;0;3
"ouvrages-protection";3;0;3
"peuplements";3;0;3
"plants";3;0;3
